nume_judet,nume_localitate,tip_localitate
alba,abrud,oras
alba,achimetesti,sat
alba,acmariu,sat
alba,aiud,municipiu
alba,alba iulia,municipiu
alba,albac,sat
alba,alecus,sat
alba,almasu de mijloc,sat
alba,almasu mare,sat
alba,ampoita,sat
alba,anghelesti,sat
alba,arieseni,sat
alba,aronesti,sat
alba,arti,sat
alba,asinip,sat
alba,avram iancu,sat
alba,avramesti,sat
alba,avramesti,sat
alba,baba,sat
alba,baia de aries,oras
alba,balomiru de camp,sat
alba,bacainti,sat
alba,badai,sat
alba,bagau,sat
alba,bai,sat
alba,balcaciu,sat
alba,balesti,sat
alba,balesti-catun,sat
alba,balmosesti,sat
alba,barasti,sat
alba,barbesti,sat
alba,bazesti,sat
alba,bardesti,sat
alba,barlesti,sat
alba,barlesti,sat
alba,barlesti,sat
alba,barlesti-catun,sat
alba,barsana,sat
alba,barzan,sat
alba,barzogani,sat
alba,beldiu,sat
alba,benic,sat
alba,berghin,sat
alba,beta,sat
alba,bidigesti,sat
alba,biharia,sat
alba,biia,sat
alba,bilanesti,sat
alba,bisericani,sat
alba,bistra,sat
alba,blaj,municipiu
alba,blandiana,sat
alba,blidesti,sat
alba,bobaresti,sat
alba,bobaresti,sat
alba,bocesti,sat
alba,bodesti,sat
alba,bodresti,sat
alba,bogdanesti,sat
alba,bogdanesti,sat
alba,boglesti,sat
alba,boldesti,sat
alba,bolovanesti,sat
alba,bordestii poieni,sat
alba,botesti,sat
alba,botesti,sat
alba,botani,sat
alba,boz,sat
alba,bradeana,sat
alba,bradesti,sat
alba,bradet,sat
alba,brazesti,sat
alba,bubesti,sat
alba,bucerdea granoasa,sat
alba,bucerdea vinoasa,sat
alba,bucium,sat
alba,bucium-sat,sat
alba,budaiesti,sat
alba,budeni,sat
alba,bulbuc,sat
alba,buninginea,sat
alba,bunta,sat
alba,burzesti,sat
alba,burzonesti,sat
alba,butesti,sat
alba,butesti,sat
alba,capu dealului,sat
alba,carpen,sat
alba,carpenii de sus,sat
alba,casa de piatra,sat
alba,calugaresti,sat
