nume_judet	salariu_mediu_net	populatie	nr_someri_per_capita	nume_localitate	nume_localitate_search	tip_localitate	teritoriu
alba	2846	376589	71.7449037912	abrud	abrud$	oras	urban
alba	2846	376589	71.7449037912	achimetesti	achimetesti$	sat	rural
alba	2846	376589	71.7449037912	acmariu	acmariu$	sat	rural
alba	2846	376589	71.7449037912	aiud	aiud$	municipiu	urban
alba	2846	376589	71.7449037912	alba iulia	alba iulia$	municipiu	urban
alba	2846	376589	71.7449037912	albac	albac$	sat	rural
alba	2846	376589	71.7449037912	alecus	alecus$	sat	rural
alba	2846	376589	71.7449037912	almasu de mijloc	almasu de mijloc$	sat	rural
alba	2846	376589	71.7449037912	almasu mare	almasu mare$	sat	rural
alba	2846	376589	71.7449037912	ampoita	ampoita$	sat	rural
alba	2846	376589	71.7449037912	anghelesti	anghelesti$	sat	rural
alba	2846	376589	71.7449037912	arieseni	arieseni$	sat	rural
alba	2846	376589	71.7449037912	aronesti	aronesti$	sat	rural
alba	2846	376589	71.7449037912	arti	arti$	sat	rural
alba	2846	376589	71.7449037912	asinip	asinip$	sat	rural
alba	2846	376589	71.7449037912	avram iancu	avram iancu$	sat	rural
alba	2846	376589	71.7449037912	avramesti	avramesti$	sat	rural
alba	2846	376589	71.7449037912	baba	baba$	sat	rural
alba	2846	376589	71.7449037912	bacainti	bacainti$	sat	rural
alba	2846	376589	71.7449037912	badai	badai$	sat	rural
alba	2846	376589	71.7449037912	bagau	bagau$	sat	rural
alba	2846	376589	71.7449037912	bai	bai$	sat	rural
alba	2846	376589	71.7449037912	baia de aries	baia de aries$	oras	urban
alba	2846	376589	71.7449037912	balcaciu	balcaciu$	sat	rural
alba	2846	376589	71.7449037912	balesti	balesti$	sat	rural
alba	2846	376589	71.7449037912	balesti-catun	balesti-catun$	sat	rural
alba	2846	376589	71.7449037912	balmosesti	balmosesti$	sat	rural
alba	2846	376589	71.7449037912	balomiru de camp	balomiru de camp$	sat	rural
alba	2846	376589	71.7449037912	barasti	barasti$	sat	rural
alba	2846	376589	71.7449037912	barbesti	barbesti$	sat	rural
alba	2846	376589	71.7449037912	bardesti	bardesti$	sat	rural
alba	2846	376589	71.7449037912	barlesti	barlesti$	sat	rural
alba	2846	376589	71.7449037912	barlesti-catun	barlesti-catun$	sat	rural
alba	2846	376589	71.7449037912	barsana	barsana$	sat	rural
alba	2846	376589	71.7449037912	barzan	barzan$	sat	rural
alba	2846	376589	71.7449037912	barzogani	barzogani$	sat	rural
alba	2846	376589	71.7449037912	bazesti	bazesti$	sat	rural
alba	2846	376589	71.7449037912	beldiu	beldiu$	sat	rural
alba	2846	376589	71.7449037912	benic	benic$	sat	rural
alba	2846	376589	71.7449037912	berghin	berghin$	sat	rural
alba	2846	376589	71.7449037912	beta	beta$	sat	rural
alba	2846	376589	71.7449037912	bidigesti	bidigesti$	sat	rural
alba	2846	376589	71.7449037912	biharia	biharia$	sat	rural
alba	2846	376589	71.7449037912	biia	biia$	sat	rural
alba	2846	376589	71.7449037912	bilanesti	bilanesti$	sat	rural
alba	2846	376589	71.7449037912	bisericani	bisericani$	sat	rural
alba	2846	376589	71.7449037912	bistra	bistra$	sat	rural
alba	2846	376589	71.7449037912	blaj	blaj$	municipiu	urban
alba	2846	376589	71.7449037912	blandiana	blandiana$	sat	rural
alba	2846	376589	71.7449037912	blidesti	blidesti$	sat	rural
alba	2846	376589	71.7449037912	bobaresti	bobaresti$	sat	rural
alba	2846	376589	71.7449037912	bocesti	bocesti$	sat	rural
alba	2846	376589	71.7449037912	bodesti	bodesti$	sat	rural
alba	2846	376589	71.7449037912	bodresti	bodresti$	sat	rural
alba	2846	376589	71.7449037912	bogdanesti	bogdanesti$	sat	rural
alba	2846	376589	71.7449037912	boglesti	boglesti$	sat	rural
